Beach_Name,Measurement_Date_And_Time,Water_Temperature,Turbidity,Transducer_Depth,Wave_Height,Wave_Period,Battery_Life,Measurement_ID,Month
Montrose Beach,2014-05-29 03:00:00,14.1,6.78,1.468,0.285,4.0,11.8,MontroseBeach201405290300,5.0
Calumet Beach,2014-05-29 04:00:00,16.1,1.82,1.507,0.156,4.0,11.7,CalumetBeach201405290400,5.0
Montrose Beach,2014-05-29 04:00:00,14.1,6.27,1.456,0.306,3.0,11.8,MontroseBeach201405290400,5.0
Montrose Beach,2014-05-29 05:00:00,14.0,5.63,1.421,0.282,3.0,11.8,MontroseBeach201405290500,5.0
Calumet Beach,2014-05-29 05:00:00,15.9,1.73,1.513,0.158,3.0,11.7,CalumetBeach201405290500,5.0
Calumet Beach,2014-05-29 06:00:00,15.9,1.73,1.508,0.151,3.0,11.7,CalumetBeach201405290600,5.0
Montrose Beach,2014-05-29 06:00:00,13.8,5.05,1.41,0.248,4.0,11.8,MontroseBeach201405290600,5.0
Montrose Beach,2014-05-29 07:00:00,13.8,5.73,1.398,0.235,4.0,11.8,MontroseBeach201405290700,5.0
Calumet Beach,2014-05-29 07:00:00,15.9,1.74,1.491,0.148,4.0,11.7,CalumetBeach201405290700,5.0
Montrose Beach,2014-05-29 08:00:00,13.9,5.57,1.398,0.244,4.0,11.8,MontroseBeach201405290800,5.0
Calumet Beach,2014-05-29 08:00:00,15.8,1.77,1.498,0.146,4.0,11.7,CalumetBeach201405290800,5.0
Calumet Beach,2014-05-29 09:00:00,15.9,1.64,1.538,0.125,4.0,11.7,CalumetBeach201405290900,5.0
Montrose Beach,2014-05-29 09:00:00,13.9,6.49,1.407,0.292,3.0,11.8,MontroseBeach201405290900,5.0
Montrose Beach,2014-05-29 10:00:00,14.1,5.67,1.415,0.277,2.0,11.8,MontroseBeach201405291000,5.0
Calumet Beach,2014-05-29 10:00:00,16.0,1.75,1.495,0.129,4.0,11.7,CalumetBeach201405291000,5.0
Calumet Beach,2014-05-29 11:00:00,16.2,1.59,1.596,0.141,4.0,11.7,CalumetBeach201405291100,5.0
Montrose Beach,2014-05-29 11:00:00,14.3,6.4,1.458,0.286,5.0,11.8,MontroseBeach201405291100,5.0
Calumet Beach,2014-05-29 12:00:00,16.4,1.55,1.491,0.144,4.0,11.7,CalumetBeach201405291200,5.0
Montrose Beach,2014-05-29 12:00:00,14.6,6.19,1.432,0.301,3.0,11.8,MontroseBeach201405291200,5.0
Montrose Beach,2014-05-29 13:00:00,14.8,6.28,1.526,0.282,5.0,11.8,MontroseBeach201405291300,5.0
Calumet Beach,2014-05-29 13:00:00,16.6,1.58,1.499,0.154,2.0,11.7,CalumetBeach201405291300,5.0
Calumet Beach,2014-05-29 14:00:00,16.7,1.44,1.682,0.159,5.0,11.7,CalumetBeach201405291400,5.0
Montrose Beach,2014-05-29 14:00:00,14.9,6.36,1.391,0.319,3.0,11.8,MontroseBeach201405291400,5.0
Montrose Beach,2014-05-29 15:00:00,15.1,5.98,1.449,0.296,3.0,11.8,MontroseBeach201405291500,5.0
Calumet Beach,2014-05-29 15:00:00,16.9,1.4,1.488,0.164,4.0,11.7,CalumetBeach201405291500,5.0
Calumet Beach,2014-05-29 16:00:00,16.9,1.35,1.562,0.17,4.0,11.7,CalumetBeach201405291600,5.0
Montrose Beach,2014-05-29 16:00:00,15.2,6.26,1.448,0.313,3.0,11.8,MontroseBeach201405291600,5.0
Montrose Beach,2014-05-29 17:00:00,15.5,7.06,1.406,0.288,3.0,11.8,MontroseBeach201405291700,5.0
Calumet Beach,2014-05-29 17:00:00,16.8,1.45,1.546,0.168,3.0,11.7,CalumetBeach201405291700,5.0
Calumet Beach,2014-05-29 18:00:00,16.9,1.35,1.47,0.179,3.0,11.7,CalumetBeach201405291800,5.0
Montrose Beach,2014-05-29 18:00:00,15.3,6.51,1.401,0.298,3.0,11.8,MontroseBeach201405291800,5.0
Montrose Beach,2014-05-29 19:00:00,15.5,6.71,1.4,0.287,3.0,11.8,MontroseBeach201405291900,5.0
Calumet Beach,2014-05-29 19:00:00,16.8,1.39,1.51,0.175,3.0,11.7,CalumetBeach201405291900,5.0
Montrose Beach,2014-05-29 20:00:00,15.3,6.17,1.406,0.298,3.0,11.8,MontroseBeach201405292000,5.0
Calumet Beach,2014-05-29 20:00:00,16.7,1.46,1.413,0.182,4.0,11.7,CalumetBeach201405292000,5.0
Montrose Beach,2014-05-29 21:00:00,15.4,5.9,1.416,0.286,3.0,11.8,MontroseBeach201405292100,5.0
Calumet Beach,2014-05-29 21:00:00,16.8,1.4,1.482,0.189,3.0,11.7,CalumetBeach201405292100,5.0
Montrose Beach,2014-05-29 22:00:00,15.2,6.03,1.4,0.266,3.0,11.8,MontroseBeach201405292200,5.0
Calumet Beach,2014-05-29 22:00:00,16.9,1.51,1.481,0.177,4.0,11.7,CalumetBeach201405292200,5.0
Calumet Beach,2014-05-29 23:00:00,16.8,1.55,1.511,0.194,3.0,11.7,CalumetBeach201405292300,5.0
Montrose Beach,2014-05-29 23:00:00,15.2,5.71,1.397,0.262,3.0,11.8,MontroseBeach201405292300,5.0
Calumet Beach,2014-05-30 00:00:00,16.6,1.79,1.539,0.21,4.0,11.7,CalumetBeach201405302400,5.0
Montrose Beach,2014-05-30 00:00:00,15.2,6.09,1.438,0.234,3.0,11.8,MontroseBeach201405302400,5.0
Calumet Beach,2014-05-30 01:00:00,16.4,1.74,1.437,0.176,4.0,11.7,CalumetBeach201405300100,5.0
Montrose Beach,2014-05-30 01:00:00,15.0,5.98,1.379,0.26,3.0,11.8,MontroseBeach201405300100,5.0
Montrose Beach,2014-05-30 02:00:00,15.0,5.92,1.504,0.26,3.0,11.8,MontroseBeach201405300200,5.0
Calumet Beach,2014-05-30 02:00:00,16.4,1.53,1.579,0.193,4.0,11.7,CalumetBeach201405300200,5.0
Calumet Beach,2014-05-30 03:00:00,16.3,1.72,1.564,0.176,4.0,11.7,CalumetBeach201405300300,5.0
Montrose Beach,2014-05-30 03:00:00,14.9,6.51,1.422,0.261,3.0,11.8,MontroseBeach201405300300,5.0
Montrose Beach,2014-05-30 04:00:00,14.8,5.35,1.441,0.266,4.0,11.8,MontroseBeach201405300400,5.0
Calumet Beach,2014-05-30 04:00:00,16.2,1.77,1.513,0.168,3.0,11.7,CalumetBeach201405300400,5.0
Calumet Beach,2014-05-30 05:00:00,16.2,1.6,1.465,0.152,3.0,11.7,CalumetBeach201405300500,5.0
Montrose Beach,2014-05-30 05:00:00,14.8,5.66,1.441,0.253,4.0,11.8,MontroseBeach201405300500,5.0
Montrose Beach,2014-05-30 06:00:00,14.7,5.53,1.401,0.219,3.0,11.8,MontroseBeach201405300600,5.0
Calumet Beach,2014-05-30 06:00:00,16.1,1.53,1.5,0.144,3.0,11.7,CalumetBeach201405300600,5.0
Calumet Beach,2014-05-30 07:00:00,16.1,1.71,1.559,0.132,3.0,11.7,CalumetBeach201405300700,5.0
Montrose Beach,2014-05-30 07:00:00,14.7,5.53,1.455,0.22,4.0,11.8,MontroseBeach201405300700,5.0
Calumet Beach,2014-05-30 08:00:00,16.2,1.68,1.496,0.127,3.0,11.7,CalumetBeach201405300800,5.0
Montrose Beach,2014-05-30 08:00:00,14.8,5.58,1.4,0.228,3.0,11.8,MontroseBeach201405300800,5.0
Montrose Beach,2014-05-30 09:00:00,15.0,5.36,1.399,0.223,3.0,11.8,MontroseBeach201405300900,5.0
Calumet Beach,2014-05-30 09:00:00,16.3,1.59,1.453,0.108,3.0,11.6,CalumetBeach201405300900,5.0
Montrose Beach,2014-05-30 10:00:00,15.2,5.03,1.429,0.198,3.0,11.8,MontroseBeach201405301000,5.0
Calumet Beach,2014-05-30 10:00:00,16.6,1.52,1.52,0.111,3.0,11.6,CalumetBeach201405301000,5.0
Calumet Beach,2014-05-30 11:00:00,16.8,1.45,1.492,0.107,3.0,11.6,CalumetBeach201405301100,5.0
Montrose Beach,2014-05-30 11:00:00,15.5,5.28,1.443,0.202,3.0,11.8,MontroseBeach201405301100,5.0
Montrose Beach,2014-05-30 12:00:00,15.8,5.04,1.454,0.193,3.0,11.8,MontroseBeach201405301200,5.0
Calumet Beach,2014-05-30 12:00:00,17.2,1.46,1.496,0.116,3.0,11.6,CalumetBeach201405301200,5.0
Calumet Beach,2014-05-30 13:00:00,17.4,1.52,1.525,0.108,3.0,11.6,CalumetBeach201405301300,5.0
Montrose Beach,2014-05-30 13:00:00,16.1,4.71,1.472,0.199,3.0,11.8,MontroseBeach201405301300,5.0
Montrose Beach,2014-05-30 14:00:00,16.4,4.43,1.429,0.226,2.0,11.8,MontroseBeach201405301400,5.0
Calumet Beach,2014-05-30 14:00:00,17.5,1.58,1.523,0.115,3.0,11.6,CalumetBeach201405301400,5.0
Calumet Beach,2014-05-30 15:00:00,17.8,1.52,1.512,0.14,2.0,11.6,CalumetBeach201405301500,5.0
Montrose Beach,2014-05-30 15:00:00,16.7,4.62,1.437,0.196,2.0,11.8,MontroseBeach201405301500,5.0
Montrose Beach,2014-05-30 16:00:00,16.8,4.41,1.403,0.229,2.0,11.8,MontroseBeach201405301600,5.0
Calumet Beach,2014-05-30 16:00:00,17.7,1.48,1.568,0.129,3.0,11.6,CalumetBeach201405301600,5.0
Montrose Beach,2014-05-30 17:00:00,16.8,4.31,1.438,0.23,3.0,11.8,MontroseBeach201405301700,5.0
Calumet Beach,2014-05-30 17:00:00,17.6,1.42,1.518,0.141,2.0,11.6,CalumetBeach201405301700,5.0
Calumet Beach,2014-05-30 18:00:00,17.7,1.43,1.407,0.141,3.0,11.6,CalumetBeach201405301800,5.0
Montrose Beach,2014-05-30 18:00:00,16.7,4.16,1.44,0.219,2.0,11.8,MontroseBeach201405301800,5.0
Montrose Beach,2014-05-30 19:00:00,16.8,4.4,1.385,0.201,2.0,11.8,MontroseBeach201405301900,5.0
Calumet Beach,2014-05-30 19:00:00,17.7,1.39,1.474,0.147,2.0,11.6,CalumetBeach201405301900,5.0
Montrose Beach,2014-05-30 20:00:00,16.7,4.05,1.392,0.201,2.0,11.8,MontroseBeach201405302000,5.0
Calumet Beach,2014-05-30 20:00:00,17.6,1.44,1.508,0.163,3.0,11.6,CalumetBeach201405302000,5.0
Montrose Beach,2014-05-30 21:00:00,16.7,4.17,1.362,0.178,2.0,11.8,MontroseBeach201405302100,5.0
Calumet Beach,2014-05-30 21:00:00,17.8,1.41,1.443,0.157,3.0,11.6,CalumetBeach201405302100,5.0
Calumet Beach,2014-05-30 22:00:00,17.8,1.45,1.441,0.144,3.0,11.6,CalumetBeach201405302200,5.0
Montrose Beach,2014-05-30 22:00:00,16.5,3.83,1.412,0.16,2.0,11.8,MontroseBeach201405302200,5.0
Calumet Beach,2014-05-30 23:00:00,17.6,1.44,1.496,0.155,3.0,11.6,CalumetBeach201405302300,5.0
Montrose Beach,2014-05-30 23:00:00,16.5,3.94,1.393,0.182,3.0,11.8,MontroseBeach201405302300,5.0
Montrose Beach,2014-05-31 00:00:00,16.5,3.63,1.428,0.168,2.0,11.8,MontroseBeach201405312400,5.0
Calumet Beach,2014-05-31 00:00:00,17.2,1.58,1.506,0.144,3.0,11.6,CalumetBeach201405312400,5.0
Calumet Beach,2014-05-31 01:00:00,17.1,1.43,1.525,0.132,3.0,11.6,CalumetBeach201405310100,5.0
Montrose Beach,2014-05-31 01:00:00,16.4,3.68,1.434,0.152,2.0,11.8,MontroseBeach201405310100,5.0
Montrose Beach,2014-05-31 02:00:00,16.3,3.56,1.473,0.144,3.0,11.8,MontroseBeach201405310200,5.0
Calumet Beach,2014-05-31 02:00:00,17.0,1.44,1.515,0.137,3.0,11.6,CalumetBeach201405310200,5.0
Montrose Beach,2014-05-31 03:00:00,16.2,3.38,1.444,0.147,3.0,11.8,MontroseBeach201405310300,5.0
Calumet Beach,2014-05-31 03:00:00,16.8,1.5,1.581,0.136,3.0,11.6,CalumetBeach201405310300,5.0
Montrose Beach,2014-05-31 04:00:00,16.0,3.08,1.438,0.166,3.0,11.8,MontroseBeach201405310400,5.0
Calumet Beach,2014-05-31 04:00:00,16.8,1.71,1.517,0.133,4.0,11.6,CalumetBeach201405310400,5.0
Montrose Beach,2014-05-31 05:00:00,16.0,3.0,1.449,0.161,2.0,11.8,MontroseBeach201405310500,5.0
Calumet Beach,2014-05-31 05:00:00,16.7,1.58,1.526,0.134,3.0,11.6,CalumetBeach201405310500,5.0
Montrose Beach,2014-05-31 06:00:00,15.9,3.11,1.411,0.163,3.0,11.8,MontroseBeach201405310600,5.0
Calumet Beach,2014-05-31 06:00:00,17.0,2.2,1.515,0.127,3.0,11.6,CalumetBeach201405310600,5.0
Montrose Beach,2014-05-31 07:00:00,16.0,3.16,1.448,0.147,3.0,11.8,MontroseBeach201405310700,5.0
Calumet Beach,2014-05-31 07:00:00,16.8,1.68,1.464,0.118,3.0,11.6,CalumetBeach201405310700,5.0
Montrose Beach,2014-05-31 08:00:00,16.0,3.18,1.401,0.138,3.0,11.8,MontroseBeach201405310800,5.0
Calumet Beach,2014-05-31 08:00:00,17.0,1.7,1.516,0.113,3.0,11.6,CalumetBeach201405310800,5.0
Montrose Beach,2014-05-31 09:00:00,16.2,3.07,1.421,0.145,3.0,11.8,MontroseBeach201405310900,5.0
Calumet Beach,2014-05-31 09:00:00,17.1,1.62,1.498,0.1,3.0,11.6,CalumetBeach201405310900,5.0
Montrose Beach,2014-05-31 10:00:00,16.5,2.88,1.412,0.144,3.0,11.8,MontroseBeach201405311000,5.0
Calumet Beach,2014-05-31 10:00:00,17.4,1.66,1.503,0.097,3.0,11.6,CalumetBeach201405311000,5.0
Montrose Beach,2014-05-31 11:00:00,16.8,2.91,1.442,0.158,4.0,11.8,MontroseBeach201405311100,5.0
Calumet Beach,2014-05-31 11:00:00,17.8,1.76,1.518,0.096,3.0,11.6,CalumetBeach201405311100,5.0
Montrose Beach,2014-05-31 12:00:00,17.3,2.49,1.395,0.131,2.0,11.8,MontroseBeach201405311200,5.0
Calumet Beach,2014-05-31 12:00:00,18.0,1.31,1.492,0.109,2.0,11.6,CalumetBeach201405311200,5.0
Montrose Beach,2014-05-31 13:00:00,17.6,2.85,1.431,0.15,3.0,11.8,MontroseBeach201405311300,5.0
Calumet Beach,2014-05-31 13:00:00,18.4,1.31,1.539,0.106,3.0,11.6,CalumetBeach201405311300,5.0
Calumet Beach,2014-05-31 14:00:00,19.2,1.19,1.531,0.115,3.0,11.6,CalumetBeach201405311400,5.0
Montrose Beach,2014-05-31 14:00:00,19.2,3.57,1.395,0.156,3.0,11.8,MontroseBeach201405311400,5.0
Calumet Beach,2014-05-31 15:00:00,19.3,1.25,1.514,0.11,2.0,11.6,CalumetBeach201405311500,5.0
Montrose Beach,2014-05-31 15:00:00,19.7,3.68,1.458,0.158,2.0,11.7,MontroseBeach201405311500,5.0
Montrose Beach,2014-05-31 16:00:00,20.1,3.11,1.454,0.215,4.0,11.8,MontroseBeach201405311600,5.0
Calumet Beach,2014-05-31 16:00:00,19.8,1.16,1.533,0.166,2.0,11.6,CalumetBeach201405311600,5.0
Montrose Beach,2014-05-31 17:00:00,19.4,2.54,1.435,0.243,2.0,11.8,MontroseBeach201405311700,5.0
Calumet Beach,2014-05-31 17:00:00,20.3,1.27,1.509,0.158,2.0,11.6,CalumetBeach201405311700,5.0
Calumet Beach,2014-05-31 18:00:00,21.0,1.65,1.515,0.226,3.0,11.6,CalumetBeach201405311800,5.0
Montrose Beach,2014-05-31 18:00:00,18.4,2.64,1.427,0.218,2.0,11.8,MontroseBeach201405311800,5.0
Calumet Beach,2014-05-31 19:00:00,20.6,1.43,1.483,0.18,3.0,11.6,CalumetBeach201405311900,5.0
Montrose Beach,2014-05-31 19:00:00,19.5,3.82,1.385,0.205,3.0,11.8,MontroseBeach201405311900,5.0
Calumet Beach,2014-05-31 20:00:00,20.4,1.38,1.426,0.156,3.0,11.6,CalumetBeach201405312000,5.0
Montrose Beach,2014-05-31 20:00:00,18.1,2.66,1.409,0.211,3.0,11.8,MontroseBeach201405312000,5.0
Montrose Beach,2014-05-31 21:00:00,17.7,2.49,1.38,0.22,3.0,11.8,MontroseBeach201405312100,5.0
Calumet Beach,2014-05-31 21:00:00,20.3,1.77,1.468,0.178,3.0,11.6,CalumetBeach201405312100,5.0
Calumet Beach,2014-05-31 22:00:00,19.6,1.43,1.477,0.177,3.0,11.6,CalumetBeach201405312200,5.0
Montrose Beach,2014-05-31 22:00:00,17.0,2.18,1.373,0.2,3.0,11.8,MontroseBeach201405312200,5.0
Calumet Beach,2014-05-31 23:00:00,19.2,1.38,1.501,0.163,3.0,11.6,CalumetBeach201405312300,5.0
Montrose Beach,2014-05-31 23:00:00,16.7,2.09,1.392,0.204,3.0,11.8,MontroseBeach201405312300,5.0
Calumet Beach,2014-06-01 00:00:00,19.3,1.56,1.474,0.173,3.0,11.6,CalumetBeach201406012400,6.0
Montrose Beach,2014-06-01 00:00:00,16.3,2.04,1.394,0.194,2.0,11.7,MontroseBeach201406012400,6.0
Calumet Beach,2014-06-01 01:00:00,19.1,1.43,1.469,0.16,3.0,11.6,CalumetBeach201406010100,6.0
Montrose Beach,2014-06-01 01:00:00,16.2,1.95,1.412,0.191,3.0,11.8,MontroseBeach201406010100,6.0
Montrose Beach,2014-06-01 02:00:00,16.0,1.7,1.438,0.192,3.0,11.7,MontroseBeach201406010200,6.0
Calumet Beach,2014-06-01 02:00:00,18.6,1.37,1.523,0.17,3.0,11.6,CalumetBeach201406010200,6.0
Calumet Beach,2014-06-01 03:00:00,18.2,1.45,1.502,0.183,3.0,11.6,CalumetBeach201406010300,6.0
Montrose Beach,2014-06-01 03:00:00,15.7,1.16,1.386,0.186,3.0,11.7,MontroseBeach201406010300,6.0
Montrose Beach,2014-06-01 04:00:00,15.4,0.86,1.419,0.176,3.0,11.7,MontroseBeach201406010400,6.0
Calumet Beach,2014-06-01 04:00:00,17.9,1.56,1.473,0.17,3.0,11.6,CalumetBeach201406010400,6.0
Calumet Beach,2014-06-01 05:00:00,17.8,1.65,1.477,0.174,3.0,11.6,CalumetBeach201406010500,6.0
Montrose Beach,2014-06-01 05:00:00,15.3,0.62,1.399,0.162,3.0,11.7,MontroseBeach201406010500,6.0
Calumet Beach,2014-06-01 06:00:00,17.7,1.5,1.471,0.172,3.0,11.6,CalumetBeach201406010600,6.0
Montrose Beach,2014-06-01 06:00:00,15.1,0.54,1.385,0.154,3.0,11.7,MontroseBeach201406010600,6.0
Calumet Beach,2014-06-01 07:00:00,17.7,1.44,1.448,0.169,3.0,11.6,CalumetBeach201406010700,6.0
Montrose Beach,2014-06-01 07:00:00,15.1,0.49,1.381,0.152,6.0,11.7,MontroseBeach201406010700,6.0
Calumet Beach,2014-06-01 08:00:00,17.8,1.38,1.418,0.168,3.0,11.6,CalumetBeach201406010800,6.0
Montrose Beach,2014-06-01 08:00:00,15.2,0.43,1.362,0.151,3.0,11.7,MontroseBeach201406010800,6.0
Calumet Beach,2014-06-01 09:00:00,18.0,1.39,1.466,0.151,3.0,11.6,CalumetBeach201406010900,6.0
Montrose Beach,2014-06-01 09:00:00,15.3,0.36,1.391,0.16,3.0,11.7,MontroseBeach201406010900,6.0
Montrose Beach,2014-06-01 10:00:00,15.6,0.33,1.358,0.163,3.0,11.7,MontroseBeach201406011000,6.0
Calumet Beach,2014-06-01 10:00:00,18.2,1.43,1.446,0.127,3.0,11.6,CalumetBeach201406011000,6.0
Montrose Beach,2014-06-01 11:00:00,15.8,0.33,1.362,0.175,3.0,11.7,MontroseBeach201406011100,6.0
Calumet Beach,2014-06-01 11:00:00,18.2,1.34,1.443,0.126,3.0,11.6,CalumetBeach201406011100,6.0
Montrose Beach,2014-06-01 12:00:00,16.0,0.4,1.364,0.155,3.0,11.7,MontroseBeach201406011200,6.0
Calumet Beach,2014-06-01 12:00:00,18.5,1.31,1.462,0.123,2.0,11.6,CalumetBeach201406011200,6.0
Montrose Beach,2014-06-01 13:00:00,16.2,0.35,1.363,0.156,3.0,11.7,MontroseBeach201406011300,6.0
Calumet Beach,2014-06-01 13:00:00,18.8,1.29,1.403,0.117,6.0,11.6,CalumetBeach201406011300,6.0
Montrose Beach,2014-06-01 14:00:00,16.3,0.32,1.359,0.138,3.0,11.7,MontroseBeach201406011400,6.0
Calumet Beach,2014-06-01 14:00:00,18.9,1.27,1.449,0.119,3.0,11.6,CalumetBeach201406011400,6.0
Montrose Beach,2014-06-01 15:00:00,16.3,0.36,1.321,0.165,3.0,11.7,MontroseBeach201406011500,6.0
Calumet Beach,2014-06-01 15:00:00,18.8,1.19,1.419,0.113,3.0,11.6,CalumetBeach201406011500,6.0
Montrose Beach,2014-06-01 16:00:00,16.3,0.43,1.319,0.145,2.0,11.7,MontroseBeach201406011600,6.0
Calumet Beach,2014-06-01 16:00:00,19.1,1.31,1.409,0.122,2.0,11.6,CalumetBeach201406011600,6.0
Montrose Beach,2014-06-01 17:00:00,16.3,0.49,1.328,0.179,4.0,11.7,MontroseBeach201406011700,6.0
Calumet Beach,2014-06-01 17:00:00,19.2,1.44,1.392,0.115,2.0,11.6,CalumetBeach201406011700,6.0
Calumet Beach,2014-06-01 18:00:00,18.7,1.25,1.423,0.109,9.0,11.6,CalumetBeach201406011800,6.0
Montrose Beach,2014-06-01 18:00:00,16.4,0.5,1.309,0.12,7.0,11.7,MontroseBeach201406011800,6.0
Calumet Beach,2014-06-01 19:00:00,18.3,1.12,1.428,0.139,2.0,11.6,CalumetBeach201406011900,6.0
Montrose Beach,2014-06-01 19:00:00,16.2,0.53,1.327,0.123,6.0,11.7,MontroseBeach201406011900,6.0
Calumet Beach,2014-06-01 20:00:00,18.3,1.14,1.412,0.133,2.0,11.6,CalumetBeach201406012000,6.0
Montrose Beach,2014-06-01 20:00:00,16.1,0.55,1.349,0.106,5.0,11.7,MontroseBeach201406012000,6.0
Calumet Beach,2014-06-01 21:00:00,18.3,1.11,1.39,0.103,2.0,11.6,CalumetBeach201406012100,6.0
Montrose Beach,2014-06-01 21:00:00,16.2,0.55,1.315,0.116,3.0,11.7,MontroseBeach201406012100,6.0
Calumet Beach,2014-06-01 22:00:00,18.1,1.06,1.386,0.095,3.0,11.6,CalumetBeach201406012200,6.0
Montrose Beach,2014-06-01 22:00:00,16.3,0.44,1.327,0.111,3.0,11.7,MontroseBeach201406012200,6.0
Calumet Beach,2014-06-01 23:00:00,18.1,1.07,1.428,0.128,2.0,11.6,CalumetBeach201406012300,6.0
Montrose Beach,2014-06-01 23:00:00,16.4,0.43,1.279,0.107,9.0,11.7,MontroseBeach201406012300,6.0
Montrose Beach,2014-06-02 00:00:00,16.1,0.44,1.365,0.11,7.0,11.7,MontroseBeach201406022400,6.0
Calumet Beach,2014-06-02 00:00:00,18.1,1.07,1.366,0.136,2.0,11.6,CalumetBeach201406022400,6.0
Calumet Beach,2014-06-02 01:00:00,18.0,1.03,1.37,0.127,2.0,11.6,CalumetBeach201406020100,6.0
Montrose Beach,2014-06-02 01:00:00,16.2,0.44,1.257,0.105,3.0,11.7,MontroseBeach201406020100,6.0
Calumet Beach,2014-06-02 02:00:00,18.0,1.04,1.314,0.111,2.0,11.6,CalumetBeach201406020200,6.0
Montrose Beach,2014-06-02 02:00:00,16.1,0.43,1.243,0.105,3.0,11.7,MontroseBeach201406020200,6.0
Calumet Beach,2014-06-02 03:00:00,18.0,1.06,1.333,0.103,2.0,11.6,CalumetBeach201406020300,6.0
Montrose Beach,2014-06-02 03:00:00,16.2,0.44,1.248,0.098,3.0,11.7,MontroseBeach201406020300,6.0
Calumet Beach,2014-06-02 04:00:00,17.9,1.02,1.429,0.102,2.0,11.6,CalumetBeach201406020400,6.0
